datapoint,attr_val,score
2011,1,39.33192087859428
4499,0,5.0990195135927845
3419,1,46.281745861624536
1316,0,5.385164807134505
5622,0,6.0
3386,1,49.01020301937139
8157,0,7.071067811865476
4034,1,49.25444142409901
37,0,10.0
3328,1,50.039984012787215
1480,0,11.704699910719626
4971,1,50.039984012787215
742,0,21.587033144922906
2444,1,70.0
3890,0,23.0
4341,1,70.02856560004639
5779,0,50.01999600159921
6661,1,71.20393247567159
7097,1,73.17103251970688
4928,1,80.0
2571,1,80.15609770940699
3782,1,83.15046602394962
4987,0,85.0
4913,0,103.01941564578979
2920,0,116.55470818461174
7441,1,120.0
4298,1,120.10412149464314
8840,0,130.01538370516005
1914,1,130.01922934704695
7072,0,155.0
567,0,158.07909412695912
9197,0,170.0029411510283
3794,0,170.0470523119998
6294,1,170.07351351694948
1297,0,180.06943105369106
2720,1,190.010526024218
1452,1,208.38905921376968
7785,1,219.0570701894828
725,0,250.0
4427,1,260.0019230698112
5058,0,260.0307674103201
4425,1,264.8037008804824
7548,1,270.00185184550116
703,1,270.02962800403964
3897,0,270.0481438558688
4755,0,287.0
7138,1,290.0
6770,1,300.0266654815868
2401,1,321.0389384482823
168,0,330.0
9,1,330.03939158833754
5396,1,352.0
2796,0,360.0013888862097
7215,1,360.03610930016447
2343,1,366.046445140504
922,0,380.0210520484359
6738,1,390.0
94,1,390.0012820491748
843,1,420.00476187776735
2769,1,440.00454543106713
7853,1,440.01931775775483
4568,0,452.0276540212999
3126,1,454.00440526497096
1326,0,460.0
6826,0,480.0
5757,0,528.0236737117002
9441,0,554.0
4069,0,556.0080934662732
8511,0,563.3551277835322
6108,0,600.00666662963
6722,0,657.0
7376,0,658.0121579423894
461,0,680.0
4552,0,710.0
218,1,720.0
3102,0,740.0
247,1,796.3548204161258
1787,0,750.0
519,1,829.015681395714
269,0,750.0226663241584
2608,1,830.0
6402,0,800.0056249802248
6484,1,840.0023809490067
4061,0,810.0
4370,1,840.0023809490067
6575,0,833.0
4707,1,940.0021276571664
4750,0,920.0027173872912
2056,1,990.1181747650127
2588,0,960.000520833192
1818,1,1000.0079999680004
5489,0,970.0005154637804
1987,1,1002.0623733081688
8908,0,1040.0004807691196
4636,1,1067.0937165966259
3689,1,1140.8895652077813
867,0,1059.1883685161956
7044,1,1250.0
1594,0,1227.029339502524
4862,1,1457.746548615362
9644,0,1262.2899825317475
1149,1,1510.0013245027303
9196,0,1500.0013333327408
1681,1,1534.6015769573548
5744,0,1590.0
1332,1,1650.0003030302753
7008,1,1790.4817787400127
4602,1,1830.006830588345
8948,1,1890.0
8776,1,1970.0010152281648
5092,0,1980.0040403999178
7835,0,2091.5367555938383
322,1,2112.020123010195
4781,1,2185.0057208163093
5228,0,2410.0
5159,0,2410.0
6477,1,2500.000199999992
4407,0,2510.0
9230,1,2530.004940706638
327,1,2547.1405536404936
1114,1,2655.501647523496
6521,1,2670.000187265911
9486,1,2711.5493725912493
8942,1,2980.0
7863,1,3021.195955246862
8410,1,3090.0006472491227
8008,0,3110.977981278556
1023,0,3220.0001552794997
2902,0,3414.400240159317
4204,0,3527.7189513905437
6030,0,3860.0
1271,0,3881.0565571761513
3308,0,3970.0020151128388
9784,1,3981.017583482897
1770,1,4050.0782708486017
5473,1,4072.741705534492
1451,1,4230.00295508171
3963,1,4410.001814058584
1363,1,4668.204794136607
3998,0,4883.8202260115995
1105,1,4930.380309874687
4775,1,5116.5837235405415
30,1,5338.66097443919
2371,1,5619.999999999997
860,1,5720.534940020907
5111,1,6120.011846393763
3312,0,6840.0
5084,1,7250.0
653,0,7340.307622981478
9463,0,7880.0
7349,1,8330.0
931,1,9441.191662073174
