Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,Alpha,rKL,rND,rRD
german,190,attr_val,78,41,score,4.7,0.05271332730456051,0.22092529858484433,0.0
credit,4870,attr_val,3112,64,score,4.7,0.012733950954971356,0.11228768529765787,0.22389408726178656
german,190,attr_val,78,41,score,4.8,0.051936743002875874,0.21814760578953715,0.0
credit,4870,attr_val,3112,64,score,4.8,0.012733950954971356,0.11228768529765787,0.22389408726178656
german,190,attr_val,78,41,score,5.2,0.05320827941970645,0.22482138135392443,0.0
credit,4870,attr_val,3112,64,score,5.2,0.012714888591277965,0.11188468522217229,0.22300171513008143
german,190,attr_val,78,41,score,5.3,0.05262616753078357,0.22636015737767756,0.0
credit,4870,attr_val,3112,64,score,5.3,0.01270436221804935,0.1118344577678427,0.22291552165631082
german,190,attr_val,78,41,score,5.4,0.05307996841642153,0.22569164350906146,0.0
credit,4870,attr_val,3112,64,score,5.4,0.01270436221804935,0.1118344577678427,0.22291552165631082
german,190,attr_val,78,41,score,5.5,0.05348783149653305,0.2293420243602393,0.0
credit,4870,attr_val,3112,64,score,5.5,0.01270436221804935,0.1118344577678427,0.22291552165631082
german,190,attr_val,78,41,score,5.6,0.0532268346896181,0.22597594237753396,0.0
credit,4870,attr_val,3112,64,score,5.6,0.01270436221804935,0.1118344577678427,0.22291552165631082
german,190,attr_val,78,41,score,5.7,0.054690247614316845,0.22868168659338423,0.0
credit,4870,attr_val,3112,64,score,5.7,0.01270436221804935,0.1118344577678427,0.22291552165631082
german,190,attr_val,78,41,score,5.8,0.054929637494046675,0.22740916544048412,0.0
credit,4870,attr_val,3112,64,score,5.8,0.01270436221804935,0.1118344577678427,0.22291552165631082
german,190,attr_val,78,41,score,6.2,0.05167291901772092,0.22088874114204848,0.0
credit,4870,attr_val,3112,64,score,6.2,0.012707282197666503,0.11184932178771442,0.22294406360381722
german,190,attr_val,78,41,score,6.3,0.05361057296923018,0.22095460004154105,0.0
credit,4870,attr_val,3112,64,score,6.3,0.012697361507750965,0.11180192776113959,0.2228627017375402
german,190,attr_val,78,41,score,6.4,0.05361057296923018,0.21831775146332874,0.0
credit,4870,attr_val,3112,64,score,6.4,0.012697361507750965,0.11180192776113959,0.2228627017375402
german,190,attr_val,78,41,score,6.5,0.05354112889584081,0.22251996961237902,0.0
credit,4870,attr_val,3112,64,score,6.5,0.012697361507750965,0.11180192776113959,0.2228627017375402
german,190,attr_val,78,41,score,6.6,0.05277176784449897,0.22143416121074108,0.0
credit,4870,attr_val,3112,64,score,6.6,0.012697361507750965,0.11180192776113959,0.2228627017375402
german,190,attr_val,78,41,score,6.7,0.05297044807079553,0.22022445716415537,0.0
credit,4870,attr_val,3112,64,score,6.7,0.012697361507750965,0.11180192776113959,0.2228627017375402
german,190,attr_val,78,41,score,6.8,0.05253969197474933,0.22216158303458403,0.0
credit,4870,attr_val,3112,64,score,6.8,0.012697361507750965,0.11180192776113959,0.2228627017375402
german,190,attr_val,78,41,score,7.2,0.05260535609108149,0.22103775015806787,0.0
credit,4870,attr_val,3112,64,score,7.2,0.012731430445117988,0.11217511087369157,0.22363421369655823
german,190,attr_val,78,41,score,7.3,0.05326660400350448,0.22046336703879432,0.0
credit,4870,attr_val,3112,64,score,7.3,0.012731430445117988,0.11217511087369157,0.22363421369655823
german,190,attr_val,78,41,score,7.4,0.052710934789446114,0.22397296941752223,0.0
credit,4870,attr_val,3112,64,score,7.4,0.012731430445117988,0.11217511087369157,0.22363421369655823
german,190,attr_val,78,41,score,7.5,0.05128839178402546,0.2262939353422243,0.0
credit,4870,attr_val,3112,64,score,7.5,0.012731430445117988,0.11217511087369157,0.22363421369655823
german,190,attr_val,78,41,score,7.6,0.054087211980754814,0.22256343652220578,0.0
credit,4870,attr_val,3112,64,score,7.6,0.012731430445117988,0.11217511087369157,0.22363421369655823
german,190,attr_val,78,41,score,7.7,0.05371171372341294,0.22373251355516077,0.0
credit,4870,attr_val,3112,64,score,7.7,0.012731430445117988,0.11217511087369157,0.22363421369655823
german,190,attr_val,78,41,score,7.8,0.054087211980754814,0.22502805427647393,0.0
credit,4870,attr_val,3112,64,score,7.8,0.012731430445117988,0.11217511087369157,0.22363421369655823
