Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,Alpha,rKL,rND,rRD
credit,50,attr_val,26,52,score,DTC14,0.0204384890701703,0.1643034359323481,0.08229575979024628
german,50,attr_val,19,38,score,DIC14,0.014159601246128705,0.1015239148594896,0.1817312773820265
credit,50,attr_val,26,52,score,DIC14,0.0204384890701703,0.1643034359323481,0.08229575979024628
german,50,attr_val,22,44,score,DPC15,0.040104886017125155,0.19092336850589534,0.29305831675033195
credit,50,attr_val,29,58,score,DPC15,0.012708479549917901,0.13069979792335804,0.14703650065259055
german,50,attr_val,22,44,score,DTC15,0.040104886017125155,0.18606039547209124,0.29305831675033195
credit,50,attr_val,29,58,score,DTC15,0.012792381702118695,0.13069979792335804,0.14703650065259055
german,50,attr_val,22,44,score,DIC15,0.040104886017125155,0.18997725823784278,0.29305831675033195
credit,50,attr_val,29,58,score,DIC15,0.012792381702118695,0.13069979792335804,0.14703650065259055
german,50,attr_val,16,32,score,DPC16,0.01727086698671597,0.10961456006905079,0.0524777293726139
credit,50,attr_val,26,52,score,DPC16,0.04717042868794849,0.18354672651846635,0.019303593795915074
german,50,attr_val,16,32,score,DTC16,0.01727086698671597,0.106103176573656,0.0524777293726139
credit,50,attr_val,26,52,score,DTC16,0.04717042868794849,0.18354672651846635,0.019303593795915074
german,50,attr_val,16,32,score,DIC16,0.01727086698671597,0.10783028973935171,0.0524777293726139
credit,50,attr_val,26,52,score,DIC16,0.04717042868794849,0.18354672651846635,0.019303593795915074
german,50,attr_val,20,40,score,DPC17,0.07841644965842007,0.2394319253017332,0.30915647472642016
credit,50,attr_val,35,70,score,DPC17,0.01763189729080401,0.1626349756088534,0.18288578998212304
german,50,attr_val,20,40,score,DTC17,0.07841644965842007,0.22729933253439805,0.30915647472642016
credit,50,attr_val,35,70,score,DTC17,0.018435622893125902,0.1626349756088534,0.18288578998212304
german,50,attr_val,20,40,score,DIC17,0.07841644965842007,0.23157136870356532,0.30915647472642016
credit,50,attr_val,35,70,score,DIC17,0.017106626695944684,0.1626349756088534,0.18288578998212304
german,50,attr_val,21,42,score,DPC18,0.002397815219400417,0.05119984261566304,0.04732108548934095
credit,50,attr_val,34,68,score,DPC18,0.06059950320094464,0.2800774949930465,0.48924699680924527
german,50,attr_val,21,42,score,DTC18,0.002397815219400417,0.05266372994848046,0.04732108548934095
credit,50,attr_val,34,68,score,DTC18,0.04365237232976197,0.2800774949930465,0.48924699680924527
german,50,attr_val,21,42,score,DIC18,0.002397815219400417,0.05151529993982088,0.04732108548934095
credit,50,attr_val,34,68,score,DIC18,0.055424324696097746,0.2800774949930465,0.48924699680924527
german,50,attr_val,22,44,score,DPC19,0.004516386375651115,0.06703274265265688,0.09474353085860802
credit,50,attr_val,27,54,score,DPC19,0.005632815099693802,0.07675657873887963,0.058234135292133
german,50,attr_val,22,44,score,DTC19,0.004516386375651115,0.0650258434586042,0.09474353085860802
credit,50,attr_val,27,54,score,DTC19,0.005632815099693802,0.07675657873887963,0.058234135292133
german,50,attr_val,22,44,score,DIC19,0.004516386375651115,0.06554393423491313,0.09474353085860802
credit,50,attr_val,27,54,score,DIC19,0.005632815099693802,0.07675657873887963,0.058234135292133
german,50,attr_val,21,42,score,DPC20,0.011918560006715255,0.09680009617133266,0.018566900695866598
credit,50,attr_val,32,64,score,DPC20,0.08202112231099694,0.2879255153905567,0.0
german,50,attr_val,21,42,score,DTC20,0.011918560006715255,0.09937033755899498,0.018566900695866598
credit,50,attr_val,32,64,score,DTC20,0.1130945531290967,0.2879255153905567,0.0
german,50,attr_val,21,42,score,DIC20,0.011918560006715255,0.09875619566010088,0.018566900695866598
credit,50,attr_val,32,64,score,DIC20,0.10042906252810219,0.2879255153905567,0.0
german,50,attr_val,26,52,score,DPC21,0.18414479104616716,0.4490289692066273,0.0
credit,50,attr_val,38,76,score,DPC21,0.0019033974853050538,0.052107703459343666,0.019198036293454443
german,50,attr_val,26,52,score,DTC21,0.18414479104616716,0.4490289692066273,0.0
credit,50,attr_val,38,76,score,DTC21,0.0017821283856880284,0.052107703459343666,0.019198036293454443
german,50,attr_val,26,52,score,DIC21,0.18414479104616716,0.4490289692066273,0.0
credit,50,attr_val,38,76,score,DIC21,0.0020623148995538355,0.052107703459343666,0.019198036293454443
german,50,attr_val,19,38,score,DPC22,0.20608269435392598,0.3622041214311075,0.5257217553286122
credit,50,attr_val,36,72,score,DPC22,0.02934452746152952,0.18582909264808445,0.02688747310965485
german,50,attr_val,19,38,score,DTC22,0.20608269435392598,0.36504886400711817,0.5257217553286122
credit,50,attr_val,36,72,score,DTC22,0.025678518276183396,0.18582909264808445,0.02688747310965485
german,50,attr_val,19,38,score,DIC22,0.20608269435392598,0.36504886400711817,0.5257217553286122
credit,50,attr_val,36,72,score,DIC22,0.022763889936990533,0.18582909264808445,0.02688747310965485
german,50,attr_val,21,42,score,DPC23,0.014657884620243138,0.12171159503225244,0.0
credit,50,attr_val,32,64,score,DPC23,0.02433527201411233,0.15199728686783787,0.1840868381594436
german,50,attr_val,21,42,score,DTC23,0.014657884620243138,0.12076686278157674,0.0
credit,50,attr_val,32,64,score,DTC23,0.022387846439316596,0.15199728686783787,0.1840868381594436
german,50,attr_val,21,42,score,DIC23,0.014657884620243138,0.12171159503225244,0.0
credit,50,attr_val,32,64,score,DIC23,0.023273290969768115,0.15199728686783787,0.1840868381594436
german,50,attr_val,21,42,score,DPC24,0.051674124803256505,0.19685615731747969,0.0
credit,50,attr_val,29,58,score,DPC24,0.005486916888947071,0.08455065735126842,0.03633047339636062
german,50,attr_val,21,42,score,DTC24,0.051674124803256505,0.19592263988403513,0.0
credit,50,attr_val,29,58,score,DTC24,0.005326325740485165,0.08455065735126842,0.03633047339636062
german,50,attr_val,21,42,score,DIC24,0.051674124803256505,0.1974673832107967,0.0
credit,50,attr_val,29,58,score,DIC24,0.005486916888947071,0.08455065735126842,0.03633047339636062
german,50,attr_val,22,44,score,DPC25,0.03616927535113168,0.15891795357607347,0.18145938233481315
credit,50,attr_val,33,66,score,DPC25,0.0033083121214913993,0.05893365606777155,0.05371081972297545
german,50,attr_val,22,44,score,DTC25,0.03616927535113168,0.15668631618944862,0.18145938233481315
credit,50,attr_val,33,66,score,DTC25,0.002807197652815756,0.05893365606777155,0.05371081972297545
german,50,attr_val,22,44,score,DIC25,0.03616927535113168,0.16410753251596683,0.18145938233481315
credit,50,attr_val,33,66,score,DIC25,0.002821591123182424,0.05893365606777155,0.05371081972297545
german,50,attr_val,20,40,score,DPC26,0.0,0.0,0.0
credit,50,attr_val,33,66,score,DPC26,0.026315409508052723,0.19238760399801538,0.20765449649018766
german,50,attr_val,20,40,score,DTC26,0.0,0.0,0.0
credit,50,attr_val,33,66,score,DTC26,0.028702816178392068,0.19238760399801538,0.20765449649018766
german,50,attr_val,20,40,score,DIC26,0.0,0.0,0.0
credit,50,attr_val,33,66,score,DIC26,0.027995446277339884,0.19238760399801538,0.20765449649018766
german,50,attr_val,26,52,score,DPC27,0.027648712710757382,0.17000039283959476,0.27214175684980746
credit,50,attr_val,30,60,score,DPC27,0.13026864336230073,0.2984421489357355,0.0484433919283759
german,50,attr_val,26,52,score,DTC27,0.027648712710757382,0.17000039283959476,0.27214175684980746
credit,50,attr_val,30,60,score,DTC27,0.13519782492370652,0.2984421489357355,0.0484433919283759
german,50,attr_val,26,52,score,DIC27,0.027648712710757382,0.17000039283959476,0.27214175684980746
credit,50,attr_val,30,60,score,DIC27,0.13550678884836045,0.2984421489357355,0.0484433919283759
german,50,attr_val,21,42,score,DPC28,0.046292701618921316,0.20070449366658752,0.31507411631680615
credit,50,attr_val,31,62,score,DPC28,0.010395799630732049,0.12054530753171644,0.23910624707020933
german,50,attr_val,21,42,score,DTC28,0.046292701618921316,0.1973164688883899,0.31507411631680615
credit,50,attr_val,31,62,score,DTC28,0.010106967231201266,0.12054530753171644,0.23910624707020933
german,50,attr_val,21,42,score,DIC28,0.046292701618921316,0.20455885180859174,0.31507411631680615
credit,50,attr_val,31,62,score,DIC28,0.009710444654591453,0.12054530753171644,0.23910624707020933
german,50,attr_val,22,44,score,DPC29,0.04208404855576956,0.20887463606620774,0.0
credit,50,attr_val,41,82,score,DPC29,0.032684947884140406,0.27541244843083945,0.5987770682918445
german,50,attr_val,22,44,score,DTC29,0.04208404855576956,0.2041301189715521,0.0
credit,50,attr_val,41,82,score,DTC29,0.020850865614698413,0.27541244843083945,0.5987770682918445
german,50,attr_val,22,44,score,DIC29,0.04208404855576956,0.20056505111566045,0.0
credit,50,attr_val,41,82,score,DIC29,0.022911368604420747,0.27541244843083945,0.5987770682918445
german,50,attr_val,23,46,score,DPC30,0.03350400646718272,0.17312032141242262,0.0
credit,50,attr_val,33,66,score,DPC30,0.004349990705884416,0.08255101336231352,0.11040992652745636
german,50,attr_val,23,46,score,DTC30,0.03350400646718272,0.17114554838626686,0.0
credit,50,attr_val,33,66,score,DTC30,0.006248959185212774,0.08255101336231352,0.11040992652745636
german,50,attr_val,23,46,score,DIC30,0.03350400646718272,0.17514119848339973,0.0
credit,50,attr_val,33,66,score,DIC30,0.004202125703220946,0.08255101336231352,0.11040992652745636
german,50,attr_val,18,36,score,DPC31,0.013707018607924186,0.10754121884927045,0.13407004239625112
credit,50,attr_val,31,62,score,DPC31,0.004190874889144001,0.08409491533727048,0.13611530036279396
german,50,attr_val,18,36,score,DTC31,0.013707018607924186,0.10504221912780791,0.13407004239625112
credit,50,attr_val,31,62,score,DTC31,0.00414556615963657,0.08409491533727048,0.13611530036279396
german,50,attr_val,18,36,score,DIC31,0.013640608349922725,0.10586221368537986,0.13407004239625112
credit,50,attr_val,31,62,score,DIC31,0.0044098895634128304,0.08409491533727048,0.13611530036279396
german,50,attr_val,17,34,score,DPC32,0.02384213711567344,0.12090353179474969,0.05864740998662237
credit,50,attr_val,40,80,score,DPC32,0.7435196620423908,0.2338576129446898,0.5527248561944135
german,50,attr_val,17,34,score,DTC32,0.02384213711567344,0.12187476628491146,0.05864740998662237
credit,50,attr_val,40,80,score,DTC32,0.46978740006929287,0.2338576129446898,0.5527248561944135
german,50,attr_val,17,34,score,DIC32,0.02384213711567344,0.1190067735637993,0.05864740998662237
credit,50,attr_val,40,80,score,DIC32,0.427675487037484,0.2338576129446898,0.5527248561944135
german,50,attr_val,24,48,score,DPC33,0.013010923680719643,0.12474811705746292,0.1784904571072211
credit,50,attr_val,26,52,score,DPC33,0.010296820264432772,0.11493885138220053,0.19836602104466408
german,50,attr_val,24,48,score,DTC33,0.013010923680719643,0.12474811705746292,0.1784904571072211
credit,50,attr_val,26,52,score,DTC33,0.010296820264432772,0.11493885138220053,0.19836602104466408
german,50,attr_val,24,48,score,DIC33,0.013010923680719643,0.1232274009768789,0.1784904571072211
credit,50,attr_val,26,52,score,DIC33,0.010296820264432772,0.11493885138220053,0.19836602104466408
german,50,attr_val,16,32,score,DPC34,0.013096155742060165,0.08564779304464192,0.05085323474114048
credit,50,attr_val,33,66,score,DPC34,0.005047729315627828,0.07716153616851447,0.08863624558700045
german,50,attr_val,16,32,score,DTC34,0.013096155742060165,0.08564779304464192,0.05085323474114048
credit,50,attr_val,33,66,score,DTC34,0.005707278297197821,0.07716153616851447,0.08863624558700045
